MSW3_ID,Scientific,MSWFamilyLatin,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Source,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,ForStrat-Comment,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Source,Activity-Certainty,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel
1,Tachyglossus_aculeatus,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,NA,1,1,0,Ref_1,ABC,3025,Ref_117,1
2,Zaglossus_attenboroughi,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_65,ABC,G,A,NA,1,0,0,Ref_1,ABC,8532.39,"Ref_2, Ref_3",0
3,Zaglossus_bartoni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_2,D1,G,A,NA,1,0,0,Ref_1,ABC,7180,Ref_131,1
4,Zaglossus_bruijni,Tachyglossidae,100,0,0,0,0,0,0,0,0,0,Ref_1,ABC,G,A,NA,1,0,0,Ref_1,ABC,10139.5,Ref_117,1
5,Ornithorhynchus_anatinus,Ornithorhynchidae,80,0,0,20,0,0,0,0,0,0,Ref_1,ABC,G,A,NA,1,1,1,Ref_1,ABC,1484.25,Ref_117,1
6,Caluromys_philander,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,NA,1,1,0,Ref_1,ABC,229.25,Ref_117,1
7,Caluromys_derbianus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,NA,1,1,0,Ref_1,ABC,297,Ref_117,1
8,Caluromys_lanatus,Didelphidae,20,0,0,0,10,0,20,0,10,40,Ref_1,ABC,Ar,A,NA,1,1,0,Ref_1,ABC,325,Ref_117,1
9,Caluromysiops_irrupta,Didelphidae,20,0,0,0,0,0,20,40,0,20,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,250,Ref_117,1
10,Glironia_venusta,Didelphidae,40,0,0,0,20,0,20,0,20,0,Ref_1,ABC,Ar,A,NA,1,0,0,Ref_1,ABC,114,Ref_117,1
11,Chironectes_minimus,Didelphidae,50,0,0,30,0,0,0,0,0,20,Ref_1,ABC,G,A,NA,1,0,0,Ref_1,ABC,946,Ref_117,1
